"indicator_id","empirical_estimate","regression_estimate","p_value"
1,-0.085772402418911,-0.0857724024189117,0.795888908106941
2,0.0382842065468605,0.0382842065468622,0.919482268265115
3,-0.0134835990470961,-0.0134835990470958,0.946072060375356
4,0.0189481400036648,0.0189481400036648,0.906152438800001
5,-0.0245116364302729,-0.024511636430275,0.883782223898475
6,0.250564971751413,0.25056497175142,0.611349829971808
7,-0.145016362040067,-0.145016362040051,0.727398218627481
8,0.363496426608026,0.363496426608036,0.38622123992064
9,-0.167669069629854,-0.167669069629853,0.603863799245678
10,0.115294117647059,0.115294117647059,0.701189843684465
11,0.892373098772219,0.892373098772218,0.0339167892392409
12,-0.056536558548653,-0.056536558548651,0.847540815651713
13,0.20537162771135,0.205371627711342,0.674055741782184
14,-0.0342862378596305,-0.0342862378596272,0.899108043297746
15,-0.138387392340114,-0.138387392340117,0.445320824068268
16,0.0541982774418179,0.0541982774418162,0.814239270051754
17,-0.00360571402324172,-0.00360571402324166,0.991151249917939
18,0.0682756093091439,0.0682756093091413,0.752436419257036
19,0.687533006972259,0.687533006972268,0.022775728138021
20,0.202028350837874,0.202028350837875,0.311935487429688
21,0.026727091417118,0.026727091417121,0.889206155249601
22,-0.328317006360555,-0.328317006360566,0.437502325774224
23,-0.446439174860227,-0.446439174860238,0.371599914918237
24,-0.168102868958386,-0.168102868958388,0.619255212149573
25,-0.00459808736107536,-0.00459808736107566,0.982293119525282
26,0.189367784496977,0.189367784496978,0.424508740795101
27,0.0318966747538179,0.0318966747538146,0.891427233263264
28,0.0160588615626116,0.0160588615626143,0.95741949527818
29,-0.227938427707531,-0.227938427707532,0.33822722759983
30,0.0892798240791643,0.0892798240791647,0.571836851327372
31,-0.0662708447865126,-0.0662708447865135,0.564535011675541
32,0.316855415063221,0.316855415063223,0.110953006995608
33,-0.153725490196079,-0.15372549019608,0.547911022862647
34,0.0650907091808688,0.065090709180871,0.880393991236839
35,0.0362103719992675,0.0362103719992664,0.872232680424404
36,-0.374263816054861,-0.374263816054858,0.44797433675968
37,-0.37542551157009,-0.375425511570089,0.24528947163637
38,-0.185423588039867,-0.185423588039864,0.544404020467924
39,-0.007645226314825,-0.00764522631482584,0.960279492405852
40,-0.00483782297965929,-0.00483782297965997,0.951448252817658
